 ATC code,Name,DDD,U,Adm.R,Note,href
,,0.33,g,O,,https://www.whocc.no/atc_ddd_index/?code=H03CA&showdescription=no
,,0.33,g,P,,https://www.whocc.no/atc_ddd_index/?code=H03CA&showdescription=no
A01AA01,sodium fluoride,1.1,mg,O,0.5 mg fluoride,https://www.whocc.no/atc_ddd_index/?code=A01AA&showdescription=no
A01AA02,sodium monofluorophosphate,,,,,https://www.whocc.no/atc_ddd_index/?code=A01AA&showdescription=no
A01AA03,olaflur,1.1,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A01AA&showdescription=no
A01AA04,stannous fluoride,,,,,https://www.whocc.no/atc_ddd_index/?code=A01AA&showdescription=no
A01AA30,combinations,,,,,https://www.whocc.no/atc_ddd_index/?code=A01AA&showdescription=no
A01AA51,"sodium fluoride, combinations",,,,,https://www.whocc.no/atc_ddd_index/?code=A01AA&showdescription=no
A01AB02,hydrogen peroxide,60,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A01AB&showdescription=no
A01AB03,chlorhexidine,30,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A01AB&showdescription=no
A01AB04,amphotericin B,40,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A01AB&showdescription=no
A01AB05,polynoxylin,0.18,g,O,,https://www.whocc.no/atc_ddd_index/?code=A01AB&showdescription=no
A01AB06,domiphen,3,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A01AB&showdescription=no
A01AB07,oxyquinoline,80,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A01AB&showdescription=no
A01AB08,neomycin,,,,,https://www.whocc.no/atc_ddd_index/?code=A01AB&showdescription=no
A01AB09,miconazole,0.2,g,O,,https://www.whocc.no/atc_ddd_index/?code=A01AB&showdescription=no
A01AB10,natamycin,20,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A01AB&showdescription=no
A01AB11,various,,,,,https://www.whocc.no/atc_ddd_index/?code=A01AB&showdescription=no
A01AB12,hexetidine,,,,,https://www.whocc.no/atc_ddd_index/?code=A01AB&showdescription=no
A01AB13,tetracycline,,,,,https://www.whocc.no/atc_ddd_index/?code=A01AB&showdescription=no
A01AB14,benzoxonium chloride,,,,,https://www.whocc.no/atc_ddd_index/?code=A01AB&showdescription=no
A01AB15,tibezonium iodide,,,,,https://www.whocc.no/atc_ddd_index/?code=A01AB&showdescription=no
A01AB16,mepartricin,,,,,https://www.whocc.no/atc_ddd_index/?code=A01AB&showdescription=no
A01AB17,metronidazole,,,,,https://www.whocc.no/atc_ddd_index/?code=A01AB&showdescription=no
A01AB18,clotrimazole,,,,,https://www.whocc.no/atc_ddd_index/?code=A01AB&showdescription=no
A01AB19,sodium perborate,,,,,https://www.whocc.no/atc_ddd_index/?code=A01AB&showdescription=no
A01AB21,chlortetracycline,,,,,https://www.whocc.no/atc_ddd_index/?code=A01AB&showdescription=no
A01AB22,doxycycline,,,,,https://www.whocc.no/atc_ddd_index/?code=A01AB&showdescription=no
A01AB23,minocycline,1,mg,O,,https://www.whocc.no/atc_ddd_index/?code=A01AB&showdescription=no
A01AB24,octenidine,,,,,https://www.whocc.no/atc_ddd_index/?code=A01AB&showdescription=no
A01AB25,oxytetracycline,,,,,https://www.whocc.no/atc_ddd_index/?code=A01AB&showdescription=no
A01AC01,triamcinolone,,,,,https://www.whocc.no/atc_ddd_index/?code=A01AC&showdescription=no
A01AC02,dexamethasone,,,,,https://www.whocc.no/atc_ddd_index/?code=A01AC&showdescription=no
A01AC03,hydrocortisone,,,,,https://www.whocc.no/atc_ddd_index/?code=A01AC&showdescription=no
A01AC04,prednisolone,,,,,https://www.whocc.no/atc_ddd_index/?code=A01AC&showdescription=no
