,I,C,E,K,J,N,M,D,G,O,B,R,H,S,Q,T,F,A,L,P,U
I,443737,,,,,,,,,,,,,,,,,,,,
C,,312425,,,,,,,,,,,,,,,,,,,
E,,,142717,,,,,,,,,,,,,,,,,,
K,,,,118712,,,,,,,,,,,,,,,,,
J,,,,,102677,,,,,,,,,,,,,,,,
N,,,,,,84206,,,,,,,,,,,,,,,
M,,,,,,,74935,,,,,,,,,,,,,,
D,,,,,,,,47637,,,,,,,,,,,,,
G,,,,,,,,,44870,,,,,,,,,,,,
O,,,,,,,,,,36555,,,,,,,,,,,
B,,,,,,,,,,,30539,,,,,,,,,,
R,,,,,,,,,,,,27542,,,,,,,,,
H,,,,,,,,,,,,,26172,,,,,,,,
S,,,,,,,,,,,,,,19789,,,,,,,
Q,,,,,,,,,,,,,,,9500,,,,,,
T,,,,,,,,,,,,,,,,8222,,,,,
F,,,,,,,,,,,,,,,,,8028,,,,
A,,,,,,,,,,,,,,,,,,5975,,,
L,,,,,,,,,,,,,,,,,,,5670,,
P,,,,,,,,,,,,,,,,,,,,1814,
U,,,,,,,,,,,,,,,,,,,,,10
